playerId,name,team,position,games_played,I_F_goals,I_F_shotsOnGoal,I_F_xGoals,icetime,goals_per_game,shots_per_game,shooting_pct
8479385,Jordan Kyrou,STL,C,82,31.0,251.0,24.72,90192.0,0.3780487804878049,3.0609756097560976,0.12350597609561753
8474102,David Perron,DET,L,76,17.0,151.0,16.68,71268.0,0.2236842105263158,1.986842105263158,0.11258278145695365
8483499,Liam Ohgren,MIN,L,4,1.0,8.0,0.58,3483.0,0.25,2.0,0.125
8478856,Conor Garland,VAN,R,82,20.0,200.0,18.87,71529.0,0.24390243902439024,2.4390243902439024,0.1
8480028,Morgan Frost,PHI,C,71,13.0,135.0,14.69,67423.0,0.18309859154929578,1.9014084507042253,0.0962962962962963
8481093,Rafael Harvey-Pinard,MTL,L,45,2.0,26.0,5.3,34122.0,0.044444444444444446,0.5777777777777777,0.07692307692307693
8478414,Timo Meier,NJD,R,69,28.0,207.0,26.0,72870.0,0.4057971014492754,3.0,0.13526570048309178
8481553,Bobby Brink,PHI,R,57,11.0,81.0,9.41,47172.0,0.19298245614035087,1.4210526315789473,0.13580246913580246
8476474,Stefan Noesen,CAR,R,81,14.0,111.0,16.84,57655.0,0.1728395061728395,1.3703703703703705,0.12612612612612611
8477527,Ross Johnston,ANA,L,68,1.0,44.0,4.83,33444.0,0.014705882352941176,0.6470588235294118,0.022727272727272728
8475233,David Savard,MTL,D,60,6.0,54.0,2.63,72869.0,0.1,0.9,0.1111111111111111
8482149,Cole Perfetti,WPG,C,71,19.0,143.0,15.37,57887.0,0.2676056338028169,2.0140845070422535,0.13286713286713286
8478013,Jake Walman,DET,D,63,12.0,108.0,4.59,74728.0,0.19047619047619047,1.7142857142857142,0.1111111111111111
8477220,Nate Schmidt,WPG,D,63,2.0,75.0,2.92,63566.0,0.031746031746031744,1.1904761904761905,0.02666666666666667
8482679,Matt Coronato,CGY,R,34,3.0,58.0,6.25,25727.0,0.08823529411764706,1.7058823529411764,0.05172413793103448
8483401,Marc Johnstone,PIT,R,1,0.0,0.0,0.0,439.0,0.0,0.0,0.0
8479522,Hardy Haman Aktell,WSH,D,6,0.0,5.0,0.18,3827.0,0.0,0.8333333333333334,0.0
8479442,Troy Stecher,EDM,D,54,1.0,51.0,3.68,58706.0,0.018518518518518517,0.9444444444444444,0.0196078431372549
8478046,Danton Heinen,BOS,L,74,17.0,119.0,16.23,64226.0,0.22972972972972974,1.6081081081081081,0.14285714285714285
8476463,Jonas Brodin,MIN,D,62,7.0,117.0,5.7,86945.0,0.11290322580645161,1.8870967741935485,0.05982905982905983
8482159,Tyson Foerster,PHI,R,77,20.0,167.0,18.24,79782.0,0.2597402597402597,2.168831168831169,0.11976047904191617
8483565,Nick Blankenburg,CBJ,D,12,1.0,10.0,0.46,11675.0,0.08333333333333333,0.8333333333333334,0.1
8482165,Yan Kuznetsov,CGY,D,1,0.0,2.0,0.1,718.0,0.0,2.0,0.0
8478440,Dylan Strome,WSH,C,82,27.0,169.0,23.05,88314.0,0.32926829268292684,2.0609756097560976,0.15976331360946747
8475795,Dylan McIlrath,WSH,D,3,0.0,1.0,0.05,1854.0,0.0,0.3333333333333333,0.0
8480192,Johnathan Kovacevic,MTL,D,62,6.0,46.0,3.27,61448.0,0.0967741935483871,0.7419354838709677,0.13043478260869565
8475768,Jaden Schwartz,SEA,C,62,13.0,117.0,17.36,60868.0,0.20967741935483872,1.8870967741935485,0.1111111111111111
8481186,Logan O'Connor,COL,R,57,13.0,85.0,13.47,51130.0,0.22807017543859648,1.4912280701754386,0.15294117647058825
8479367,William Lockwood,FLA,R,26,0.0,19.0,1.83,12790.0,0.0,0.7307692307692307,0.0
8482470,Ilya Solovyov,CGY,D,10,0.0,10.0,0.38,9537.0,0.0,1.0,0.0
8478891,Mason Appleton,WPG,C,82,14.0,122.0,13.74,78956.0,0.17073170731707318,1.4878048780487805,0.11475409836065574
8480893,Kirill Marchenko,CBJ,R,78,23.0,193.0,19.48,76817.0,0.2948717948717949,2.4743589743589745,0.11917098445595854
8479423,Alexander Nylander,CBJ,L,28,11.0,72.0,9.84,27298.0,0.39285714285714285,2.5714285714285716,0.1527777777777778
8470621,Corey Perry,EDM,R,54,12.0,82.0,13.09,43358.0,0.2222222222222222,1.5185185185185186,0.14634146341463414
